,ICAO,IATA,name,city,country,longitude,latitude,altitude,Rank,half_year_count
0,CYYZ,YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.63059997559999,569,30.0,24463000.0
1,EDDF,FRA,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,364,15.0,33644000.0
2,EGLL,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,83,7.0,38750000.0
3,EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,-11,14.0,34537000.0
4,LEBL,BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.0784599999999998,12,29.0,24821000.0
5,LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264,1998,23.0,29284000.0
6,LFPG,CDG,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,392,10.0,36339000.0
7,OMDB,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.252799987800003,55.3643989563,62,5.0,41278000.0
8,RJTT,HND,Tokyo Haneda International Airport,Tokyo,Japan,35.552299,139.779999,35,4.0,41435000.0
9,VHHH,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,22.308901000000002,113.915001,28,9.0,37800000.0
10,VIDP,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,777,19.0,32558857.0
11,WIII,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,-6.1255698204,106.65599823,34,20.0,
12,WMKK,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,2.7455799579619997,101.70999908446998,69,22.0,30355000.0
13,WSSS,SIN,Singapore Changi Airport,Singapore,Singapore,1.35019,103.994003,22,16.0,33190000.0
14,ZBAA,PEK,Beijing Capital International Airport,Beijing,China,40.0801010131836,116.58499908447266,116,2.0,49242000.0
15,ZGGG,CAN,Guangzhou Baiyun International Airport,Guangzhou,China,23.39240074157715,113.29900360107422,50,12.0,35646000.0
16,ZGSZ,SZX,Shenzhen Bao'an International Airport,Shenzhen,China,22.639299392700195,113.81099700927734,13,26.0,25837000.0
17,ZUUU,CTU,Chengdu Shuangliu International Airport,Chengdu,China,30.578500747680664,103.9469985961914,1625,25.0,27340000.0
18,ZSPD,PVG,Shanghai Pudong International Airport,Shanghai,China,31.143400192260746,121.80500030517578,13,8.0,38220000.0
19,KSFO,SFO,San Francisco International Airport,San Francisco,United States,37.61899948120117,-122.375,13,24.0,27704000.0
20,KLAX,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.40799709999999,125,3.0,43049000.0
21,KDFW,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,607,11.0,36122000.0
22,KATL,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,1.0,54388000.0
23,KDEN,DEN,Denver International Airport,Denver,United States,39.861698150635,-104.672996521,5431,18.0,32705000.0
24,KJFK,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13,21.0,30481000.0
25,KORD,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,672,6.0,39512000.0
26,KLAS,LAS,McCarran International Airport,Las Vegas,United States,36.08010101,-115.15200039999999,2181,28.0,25274000.0
27,KMCO,MCO,Orlando International Airport,Orlando,United States,28.429399490356445,-81.30899810791016,96,27.0,25800000.0
28,VTBS,BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.681099891662598,100.74700164794922,5,17.0,32760000.0
29,RKSI,ICN,Incheon International Airport,Seoul,South Korea,37.46910095214844,126.45099639892578,23,13.0,35547000.0
